path,extension,category,affects_build,affects_capabilities,affects_billing,affects_privacy,affects_sync,affects_routing,notes
.geminirules,.geminirules,configs,no,no,no,no,no,no,
.gitattributes,.gitattributes,configs,no,no,no,no,no,no,
.github/workflows/appstore.yml,.yml,configs,no,no,no,no,no,no,
.github/workflows/ci.yml,.yml,configs,no,no,no,no,no,no,
.github/workflows/release.yml,.yml,configs,no,no,no,no,no,no,
.gitignore,.gitignore,configs,no,no,no,no,no,no,
.swift-format,.swift-format,configs,no,no,no,no,no,no,
Benchmarks/ResearchFixtures/tiny_research_suite/manifest.json,.json,configs,no,no,no,no,no,no,
Benchmarks/rag_validation_sample.json,.json,configs,no,no,no,no,no,no,
Info.plist,.plist,configs,yes,yes,no,no,no,no,
OpenIntelligence.xcodeproj/project.pbxproj,.pbxproj,configs,yes,no,no,no,no,no,
OpenIntelligence.xcodeproj/project.xcworkspace/contents.xcworkspacedata,.xcworkspacedata,configs,yes,no,no,no,no,no,
OpenIntelligence.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,.xcsettings,configs,no,no,no,no,no,no,
OpenIntelligence.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved,.resolved,configs,no,no,no,no,no,no,
OpenIntelligence.xcodeproj/xcshareddata/xcodecloud/manifest.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence.xcodeproj/xcshareddata/xcschemes/OpenIntelligence-StoreKitTesting.xcscheme,.xcscheme,configs,yes,no,yes,no,no,no,
OpenIntelligence.xcodeproj/xcshareddata/xcschemes/OpenIntelligence.xcscheme,.xcscheme,configs,yes,no,no,no,no,no,
OpenIntelligence.xcodeproj/xcshareddata/xcschemes/OpenIntelligenceEngine.xcscheme,.xcscheme,configs,yes,no,no,no,no,no,
OpenIntelligence/OpenIntelligence.entitlements,.entitlements,configs,no,yes,yes,no,no,no,
OpenIntelligence/Resources/MLModels/EmbeddingModel.mlpackage/Data/com.apple.CoreML/FeatureDescriptions.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/MLModels/EmbeddingModel.mlpackage/Data/com.apple.CoreML/Metadata.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/MLModels/EmbeddingModel.mlpackage/Manifest.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/MLModels/ReRankerModel.mlpackage/Manifest.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/MLModels/embedding_vocab.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/MLModels/reranker_vocab.json,.json,configs,no,no,no,no,no,no,
OpenIntelligence/Resources/PrivacyInfo.xcprivacy,.xcprivacy,configs,no,no,no,yes,no,no,
OpenIntelligence/Resources/StoreKit/StoreKitConfiguration.storekit,.storekit,configs,no,no,yes,no,no,no,
OpenIntelligence/Services/.gitignore,.gitignore,configs,no,no,no,no,no,no,
OpenIntelligenceLiveActivities/Info.plist,.plist,configs,yes,yes,no,no,no,no,
Package.swift,.swift,app source,yes,no,no,no,no,no,
Xrays/pipeline-xray/data/canonical-pipeline.json,.json,scripts,no,no,no,no,no,no,
youtube_videos.json,.json,configs,no,no,no,no,no,no,
