path,extension,line_count,size_bytes,category,first_party,inspect_for_architecture,exclusion_reason,notes
.geminirules,.geminirules,35,2490,configs,yes,yes,,
.gitattributes,.gitattributes,0,578,configs,yes,yes,,
.github/ISSUE_TEMPLATE/bug_report.md,.md,35,745,docs,yes,yes,,
.github/ISSUE_TEMPLATE/feature_request.md,.md,20,611,docs,yes,yes,,
.github/PULL_REQUEST_TEMPLATE.md,.md,16,443,docs,yes,yes,,
.github/assets/openintelligence-app-icon.png,.png,0,933221,assets,yes,no,Excluded category: assets,
.github/assets/openintelligence-social-preview.png,.png,0,731338,assets,yes,no,Excluded category: assets,
.github/assets/screenshots/openintelligence-answer-inspection.png,.png,0,458156,assets,yes,no,Excluded category: assets,
.github/assets/screenshots/openintelligence-cited-answer.png,.png,0,438692,assets,yes,no,Excluded category: assets,
.github/assets/screenshots/openintelligence-ingestion-pipeline.png,.png,0,1161973,assets,yes,no,Excluded category: assets,
.github/assets/screenshots/openintelligence-library.png,.png,0,297543,assets,yes,no,Excluded category: assets,
.github/assets/screenshots/openintelligence-onboarding.png,.png,0,1135241,assets,yes,no,Excluded category: assets,
.github/workflows/appstore.yml,.yml,60,2078,configs,yes,yes,,
.github/workflows/ci.yml,.yml,55,1635,configs,yes,yes,,
.github/workflows/release.yml,.yml,42,946,configs,yes,yes,,
.gitignore,.gitignore,0,3940,configs,yes,yes,,
.swift-format,.swift-format,0,2339,configs,yes,yes,,
Benchmarks/Fixtures/README.md,.md,7,338,docs,yes,yes,,
Benchmarks/README.md,.md,317,11026,docs,yes,yes,,
Benchmarks/ResearchFixtures/README.md,.md,51,2083,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/README.md,.md,27,690,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md,.md,10,326,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md,.md,10,330,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md,.md,10,336,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md,.md,10,333,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md,.md,10,333,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md,.md,37,1763,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md,.md,37,1757,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md,.md,37,1760,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md,.md,5,242,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md,.md,5,242,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_a.md,.md,4,159,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_b.md,.md,4,158,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_a.md,.md,4,159,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_b.md,.md,4,158,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_a.md,.md,4,159,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_b.md,.md,4,158,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_a.md,.md,4,159,docs,yes,yes,,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_b.md,.md,4,158,docs,yes,yes,,
