path,extension,directory,file_size,line_count,category,type,inspected,reason_if_not,relevance,checksum
.geminirules,,,2490,35,other,asset,no,Excluded as asset file,none,71f36556d93b30ac31b3ef384139e9c9c944b9d779ce4650d3ffb3b88a241863
.gitattributes,,,578,9,other,asset,no,Excluded as asset file,none,e4a84197216849ff0a246a98b525a669956190268dc1a0af8a39fd52b3fd25f3
.github/ISSUE_TEMPLATE/bug_report.md,.md,.github/ISSUE_TEMPLATE,745,35,other,first-party,yes,,none,20f86a361c793f9b56743eba937b4b351ed2e6ecf4af7c8379cc017a1d8a9853
.github/ISSUE_TEMPLATE/feature_request.md,.md,.github/ISSUE_TEMPLATE,611,20,other,first-party,yes,,none,382f70119e1f715ecf0b701c78addc3fd5fa79a9e24fa8fc380da05d98827a23
.github/PULL_REQUEST_TEMPLATE.md,.md,.github,443,16,other,first-party,yes,,none,027040c047f72e72f4a37714e794a16a3108ef79512d1125e27a669c08933bea
.github/assets/openintelligence-app-icon.png,.png,.github/assets,933221,0,assets,asset,no,Excluded as asset file,none,4ade42cbc43fede3b9b23e2f74fa637ea30d7ab59ffa10779bbd6cac663ee4f8
.github/assets/openintelligence-social-preview.png,.png,.github/assets,731338,0,assets,asset,no,Excluded as asset file,none,e867c5e34ffd15c5bdaa6adbb5d0382d74bee998a6fd2c00e4ab17c13e3cb631
.github/assets/screenshots/openintelligence-answer-inspection.png,.png,.github/assets/screenshots,458156,0,assets,asset,no,Excluded as asset file,none,b25519c761dba8c5f69f15aab16f1e8f41e7a09a5f42a58ae49ce9042bf69f1b
.github/assets/screenshots/openintelligence-cited-answer.png,.png,.github/assets/screenshots,438692,0,assets,asset,no,Excluded as asset file,none,55eafdeca31615de1e1dd2f4c9fe5e4582f4858b97f62024343d637047df7ee4
.github/assets/screenshots/openintelligence-ingestion-pipeline.png,.png,.github/assets/screenshots,1161973,0,assets,asset,no,Excluded as asset file,none,9907275c9fe7013a1c4af0986ba689016fbaa35b1f7e1f0d23e990b07d0804b3
.github/assets/screenshots/openintelligence-library.png,.png,.github/assets/screenshots,297543,0,assets,asset,no,Excluded as asset file,none,63743d49785085acb9cdf8f619e9c6b08abf399e0b1f2a9d55d5d7d059813e30
